MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1919353	Aplf	aprataxin and PNKP like factor	6		regulation of isotype switching	regulates a function/process that happens in spleen,regulates a function/process that happens in B cell		IMP	MGI:4128102 	J:168260 	
MGI:88070	Arg1	arginase, liver	10		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88070	Arg1	arginase, liver	10		negative regulation of T-helper 2 cell cytokine production			IMP		J:243399 	
MGI:1330806	Arg2	arginase type II	12		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:2443039	Arid5a	AT rich interactive domain 5A (MRF1-like)	1		positive regulation of T-helper 1 cell cytokine production			IMP		J:240577 	
MGI:2443039	Arid5a	AT rich interactive domain 5A (MRF1-like)	1		positive regulation of T-helper 17 type immune response			IMP		J:233072 	
MGI:2442925	Atad5	ATPase family, AAA domain containing 5	11		isotype switching	happens in B cell		IMP	MGI:4127920 	J:230702 	
MGI:2442925	Atad5	ATPase family, AAA domain containing 5	11		positive regulation of isotype switching to IgG isotypes			IMP	MGI:4127920 	J:230702 	
MGI:103163	Azgp1	alpha-2-glycoprotein 1, zinc	5		positive regulation of T cell mediated cytotoxicity			IBA	PTN002497567 	J:265628 	
MGI:88127	B2m	beta-2 microglobulin	2		positive regulation of T cell cytokine production			ISO	P61769 	J:164563 	
MGI:88127	B2m	beta-2 microglobulin	2		positive regulation of T cell mediated cytotoxicity	regulates a function/process that happens in T cell		IMP		J:104295 	
MGI:894679	Bach2	BTB and CNC homology, basic leucine zipper transcription factor 2	4		primary adaptive immune response involving T cells and B cells			ISO	Q9BYV9 	J:164563 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		isotype switching			IMP		J:160935 J:172119 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		T-helper 17 cell differentiation			IMP		J:160935 J:172119 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		T-helper 17 cell lineage commitment			IMP		J:150643 J:190118 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		germinal center formation	has the participant spleen		IMP	MGI:1861796 	J:38092 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		germinal center formation	has the participant spleen germinal center		IMP	MGI:2158443 	J:112111 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		germinal center formation			IMP	MGI:2158443 	J:39747 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		humoral immune response mediated by circulating immunoglobulin			IMP	MGI:1861796 	J:38092 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		T-helper 1 type immune response			IMP	MGI:1861796 	J:38092 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		germinal center formation			IMP	MGI:2158436 	J:42667 J:111535 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		germinal center formation	has the participant spleen germinal center|has the participant lymph node secondary follicle|has the participant Peyer's patch germinal center		IMP	MGI:2158438 	J:40769 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		germinal center formation	has the participant spleen germinal center		IMP	MGI:2158439 	J:39815 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		negative regulation of isotype switching to IgE isotypes	regulates a function/process that happens in B cell		IGI	MGI:103034 	J:57856 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		negative regulation of isotype switching to IgE isotypes	regulates a function/process that happens in B cell		IMP	MGI:2158438 	J:57856 	
MGI:1337994	Bcl10	B cell leukemia/lymphoma 10	3		adaptive immune response			IBA	PTN002858499 	J:265628 	
MGI:1337994	Bcl10	B cell leukemia/lymphoma 10	3		adaptive immune response			ISO	O95999 	J:164563 	
MGI:1337994	Bcl10	B cell leukemia/lymphoma 10	3		immunoglobulin mediated immune response			IMP	MGI:2158304 	J:67297 	
MGI:1101778	Bmx	BMX non-receptor tyrosine kinase	X		adaptive immune response			IBA	PTN000700360 	J:265628 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		B cell affinity maturation			IMP	MGI:1856317 	J:17954 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		positive regulation of type I hypersensitivity			ISO	RGD:1359683 	J:155856 	
MGI:88216	Btk	Bruton agammaglobulinemia tyrosine kinase	X		positive regulation of type III hypersensitivity			ISO	RGD:1359683 	J:155856 	
MGI:2658978	Btla	B and T lymphocyte associated	16		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88223	C1qa	complement component 1, q subcomponent, alpha polypeptide	4		complement activation, classical pathway			IMP	MGI:2158701 	J:75709 	
MGI:88224	C1qb	complement component 1, q subcomponent, beta polypeptide	4		complement activation, classical pathway			IEA	IPR037573 	J:72247 	
MGI:88224	C1qb	complement component 1, q subcomponent, beta polypeptide	4		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:1194505	C1qbp	complement component 1, q subcomponent binding protein	11		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1194505	C1qbp	complement component 1, q subcomponent binding protein	11		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:88225	C1qc	complement component 1, q subcomponent, C chain	4		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:1355313	C1ra	complement component 1, r subcomponent A	6		complement activation, classical pathway			IEA	IPR035707 	J:72247 	
MGI:1355313	C1ra	complement component 1, r subcomponent A	6		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:3779804	C1rb	complement component 1, r subcomponent B	6		complement activation, classical pathway			IEA	IPR035707 	J:72247 	
MGI:3779804	C1rb	complement component 1, r subcomponent B	6		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:2660692	C1rl	complement component 1, r subcomponent-like	6		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:1355312	C1s1	complement component 1, s subcomponent 1	6		complement activation, classical pathway			IEA	IPR035708 	J:72247 	
MGI:1355312	C1s1	complement component 1, s subcomponent 1	6		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:3644269	C1s2	complement component 1, s subcomponent 2	6		complement activation, classical pathway			IEA	IPR035708 	J:72247 	
MGI:3644269	C1s2	complement component 1, s subcomponent 2	6		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:88226	C2	complement component 2 (within H-2S)	17		complement activation, classical pathway			IEA	IPR037568 	J:72247 	
MGI:88226	C2	complement component 2 (within H-2S)	17		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:88227	C3	complement component 3	17		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:88227	C3	complement component 3	17		positive regulation of type IIa hypersensitivity			IMP	MGI:1861799 	J:75709 	
MGI:1097680	C3ar1	complement component 3a receptor 1	6		tolerance induction to nonself antigen			ISO	RGD:620537 	J:155856 	
MGI:88228	C4b	complement component 4B (Chido blood group)	17		immunoglobulin mediated immune response			IMP	MGI:1889070 	J:80067 	
MGI:88229	C4bp	complement component 4 binding protein	1		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:2668347	C8a	complement component 8, alpha polypeptide	4		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:88236	C8b	complement component 8, beta polypeptide	4		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:88237	C8g	complement component 8, gamma polypeptide	2		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:1098282	C9	complement component 9	15		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:88258	Camk4	calcium/calmodulin-dependent protein kinase IV	18		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1346316	Ccl19	chemokine (C-C motif) ligand 19	4		positive regulation of T-helper 1 cell differentiation			IDA		J:97971 	
MGI:1329031	Ccl20	chemokine (C-C motif) ligand 20	1	NOT	regulation of T cell cytokine production			IDA		J:142071 	
MGI:1329031	Ccl20	chemokine (C-C motif) ligand 20	1	NOT	regulation of T-helper 17 cell differentiation			IDA		J:142071 	
MGI:106185	Ccr2	chemokine (C-C motif) receptor 2	9		positive regulation of T-helper 1 cell differentiation			IC	GO:0032729 	J:118487 	
MGI:106185	Ccr2	chemokine (C-C motif) receptor 2	9		positive regulation of T-helper 1 type immune response			IMP		J:125574 	
MGI:106185	Ccr2	chemokine (C-C motif) receptor 2	9		regulation of T cell cytokine production			IMP		J:247722 	
MGI:1333797	Ccr6	chemokine (C-C motif) receptor 6	17		isotype switching to IgA isotypes			IMP		J:233674 	
MGI:1333797	Ccr6	chemokine (C-C motif) receptor 6	17	NOT	regulation of T-helper 17 cell differentiation			IMP		J:142071 	
MGI:103011	Ccr7	chemokine (C-C motif) receptor 7	11		positive regulation of T-helper 1 cell differentiation			IC	GO:0016493 	J:97971 	
MGI:107674	Cd1d1	CD1d1 antigen	3		positive regulation of T cell mediated cytotoxicity			IBA	PTN000422284 	J:265628 	
MGI:107674	Cd1d1	CD1d1 antigen	3		positive regulation of T cell mediated cytotoxicity			IDA		J:76976 	
MGI:107675	Cd1d2	CD1d2 antigen	3		positive regulation of T cell mediated cytotoxicity			IDA		J:76976 	
MGI:88331	Cd3d	CD3 antigen, delta polypeptide	9		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88333	Cd3g	CD3 antigen, gamma polypeptide	9		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88335	Cd4	CD4 antigen	6		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88335	Cd4	CD4 antigen	6		helper T cell enhancement of adaptive immune response			IMP		J:68957 	
MGI:88344	Cd7	CD7 antigen	11		adaptive immune response			IEA	IPR039090 	J:72247 	
MGI:88344	Cd7	CD7 antigen	11		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88346	Cd8a	CD8 antigen, alpha chain	6		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88346	Cd8a	CD8 antigen, alpha chain	6		T cell mediated immunity			IBA	PTN000047644 	J:265628 	
MGI:88346	Cd8a	CD8 antigen, alpha chain	6		T cell mediated immunity	has the participant T cell		IMP	MGI:1857149 	J:68956 	
MGI:88347	Cd8b1	CD8 antigen, beta chain 1	6		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88319	Cd19	CD19 antigen	7		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88319	Cd19	CD19 antigen	7		B cell mediated immunity			IMP		J:27463 	
MGI:88319	Cd19	CD19 antigen	7		immunoglobulin mediated immune response			ISO	P15391 	J:164563 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of T cell mediated immune response to tumor cell			IDA		J:25743 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of isotype switching to IgG isotypes			IMP	MGI:1857150 	J:14194 	
MGI:88336	Cd40	CD40 antigen	2		B cell mediated immunity	has the participant Traf3ip2		IGI	MGI:2143599 	J:138560 	
MGI:88336	Cd40	CD40 antigen	2		B cell mediated immunity	has the participant Traf3ip2		IGI	MGI:88336 	J:138560 	
MGI:88336	Cd40	CD40 antigen	2		positive regulation of isotype switching to IgG isotypes			IBA	PTN005324942 	J:265628 	
MGI:88336	Cd40	CD40 antigen	2		positive regulation of isotype switching to IgG isotypes			IDA		J:84929 	
MGI:88337	Cd40lg	CD40 ligand	X		isotype switching			IDA		J:113688 	
MGI:88338	Cd44	CD44 antigen	2		positive regulation of adaptive immune response			NAS		J:131317 	
MGI:1203290	Cd46	CD46 antigen, complement regulatory protein	1		T cell mediated immunity			ISO	P15529 	J:164563 	
MGI:88339	Cd48	CD48 antigen	1		regulation of adaptive immune response			IEA	IPR033548 	J:72247 	
MGI:104850	Cd55	CD55 molecule, decay accelerating factor for complement	1		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:104850	Cd55	CD55 molecule, decay accelerating factor for complement	1		regulation of complement activation, classical pathway			IMP	MGI:2387405 	J:52968 	
MGI:104849	Cd55b	CD55 molecule, decay accelerating factor for complement B	1		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:1195273	Cd70	CD70 antigen	17		B cell mediated immunity			ISO	P32970 	J:164563 	
MGI:1195273	Cd70	CD70 antigen	17		T cell mediated immunity			ISO	P32970 	J:164563 	
MGI:96534	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	18		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:96534	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	18		immunoglobulin mediated immune response			IMP	MGI:1927205 	J:4119 	
MGI:96534	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	18		positive regulation of adaptive immune response			NAS		J:131317 	
MGI:101774	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	7		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:96431	Cd79b	CD79B antigen	11		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1096398	Cd81	CD81 antigen	7		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1096398	Cd81	CD81 antigen	7		humoral immune response mediated by circulating immunoglobulin			ISO	P60033 	J:164563 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of adaptive immune memory response			ISO	P60033 	J:164563 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of T-helper 2 cell cytokine production			IMP		J:65423 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of T-helper 2 cell cytokine production			ISO	P60033 	J:164563 	
MGI:1336885	Cd84	CD84 antigen	1		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:101773	Cd86	CD86 antigen	16		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1860383	Cd160	CD160 antigen	3		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1860383	Cd160	CD160 antigen	3		negative regulation of adaptive immune memory response			ISO	O95971 	J:164563 	
MGI:3039602	Cd226	CD226 antigen	18		positive regulation of immunoglobulin mediated immune response			IBA	PTN002931336 	J:265628 	
MGI:3039602	Cd226	CD226 antigen	18		positive regulation of immunoglobulin mediated immune response			ISO	Q15762 	J:164563 	
MGI:109294	Cd244a	CD244 molecule A	1		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88334	Cd247	CD247 antigen	1		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1926446	Cd274	CD274 antigen	19		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1926446	Cd274	CD274 antigen	19		positive regulation of tolerance induction to tumor cell			ISO	Q9NZQ7 	J:164563 	
MGI:1095414	Cdh17	cadherin 17	4	NOT	T cell mediated immunity			IMP		J:96738 	
MGI:88385	Cfh	complement component factor h	1		immunoglobulin mediated immune response			IGI		J:156611 	
MGI:105937	Cfi	complement component factor i	3		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:1930088	Clcf1	cardiotrophin-like cytokine factor 1	19		positive regulation of isotype switching to IgE isotypes			IDA		J:133136 	
MGI:1349412	Clec4a2	C-type lectin domain family 4, member a2	6		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1298389	Clec4d	C-type lectin domain family 4, member d	6		adaptive immune response			IMP		J:203159 	
MGI:1923113	Clec4g	C-type lectin domain family 4, member g	8		negative regulation of T cell mediated immunity			IDA		J:200968 	
MGI:1923113	Clec4g	C-type lectin domain family 4, member g	8		negative regulation of T cell mediated immunity	happens in liver,regulates a function/process that happens in liver		IMP	MGI:5510586 	J:194891 	
MGI:1923113	Clec4g	C-type lectin domain family 4, member g	8		negative regulation of T cell mediated immunity	regulates a function/process that happens in liver,happens in liver		IMP	MGI:5510586 	J:200968 	
MGI:1861231	Clec4n	C-type lectin domain family 4, member n	6		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88513	Cr1l	complement component (3b/4b) receptor 1-like	1		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:88489	Cr2	complement receptor 2	1		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:88489	Cr2	complement receptor 2	1		immunoglobulin mediated immune response	uses Cfh		IGI		J:156611 	
MGI:2685919	Cracr2a	calcium release activated channel regulator 2A	6		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:2685919	Cracr2a	calcium release activated channel regulator 2A	6		T-helper 1 cell differentiation			IMP		J:264324 	
MGI:2685919	Cracr2a	calcium release activated channel regulator 2A	6		T-helper 1 cell differentiation			ISO	Q9BSW2 	J:164563 	
MGI:1889506	Crlf2	cytokine receptor-like factor 2	5		immunoglobulin production involved in immunoglobulin-mediated immune response	happens in lung		IDA		J:110190 	
MGI:1889506	Crlf2	cytokine receptor-like factor 2	5		T-helper 2 cell cytokine production	happens in lung		IDA		J:110190 	
MGI:88512	Crp	C-reactive protein, pentraxin-related	1		complement activation, classical pathway			IBA	PTN000444388 	J:265628 	
MGI:88512	Crp	C-reactive protein, pentraxin-related	1		complement activation, classical pathway			ISO	RGD:2411 	J:155856 	
MGI:1859822	Crtam	cytotoxic and regulatory T cell molecule	9		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88537	Csk	c-src tyrosine kinase	9		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88556	Ctla4	cytotoxic T-lymphocyte-associated protein 4	1		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:109553	Ctsc	cathepsin C	7		T cell mediated cytotoxicity			IGI	P49935 	J:165930 	
MGI:107285	Ctsh	cathepsin H	9		T cell mediated cytotoxicity			IGI	P97821 	J:165930 	
MGI:1923520	Cyrib	CYFIP related Rac1 interactor B	15		positive regulation of T cell mediated cytotoxicity			IDA		J:186455 	
MGI:700006	Dbnl	drebrin-like	11		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:2441769	Dclre1c	DNA cross-link repair 1C	2		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:2447812	Dennd1b	DENN/MADD domain containing 1B	1		T-helper 2 cell cytokine production			IBA	PTN000749671 	J:265628 	
MGI:2447812	Dennd1b	DENN/MADD domain containing 1B	1		T-helper 2 cell cytokine production			IMP		J:229307 	
MGI:2447812	Dennd1b	DENN/MADD domain containing 1B	1		T-helper 2 cell cytokine production			ISO	Q6P3S1 	J:164563 	
MGI:107231	Dlg1	discs large MAGUK scaffold protein 1	16		T cell cytokine production	happens in T cell		IMP		J:96052 	
MGI:94919	Dpp4	dipeptidylpeptidase 4	2		regulation of T cell mediated immunity			ISO	RGD:2515 	J:155856 	
MGI:1927070	Dusp10	dual specificity phosphatase 10	1		regulation of adaptive immune response			IMP	MGI:3052343 	J:92104 	
MGI:1915926	Dusp22	dual specificity phosphatase 22	13		negative regulation of T cell mediated immunity			IMP		J:213253 	
MGI:1353427	Eif2ak4	eukaryotic translation initiation factor 2 alpha kinase 4	2		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1353427	Eif2ak4	eukaryotic translation initiation factor 2 alpha kinase 4	2		positive regulation of adaptive immune response			IMP		J:205264 	
MGI:1098726	Emp2	epithelial membrane protein 2	16		T cell mediated cytotoxicity			IDA		J:215657 	
MGI:2135885	Entpd7	ectonucleoside triphosphate diphosphohydrolase 7	19		T-helper 17 cell differentiation			IMP		J:191188 	
MGI:1201683	Eomes	eomesodermin	9		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1096338	Ephb6	Eph receptor B6	6		T cell mediated immunity			IMP	MGI:3522020 	J:94701 	
MGI:1096338	Ephb6	Eph receptor B6	6		type IV hypersensitivity			IMP	MGI:3522020 	J:94701 	
MGI:1933403	Erap1	endoplasmic reticulum aminopeptidase 1	13		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:95412	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	7		isotype switching	happens in spleen,happens in B cell		IMP	MGI:2183944 	J:92471 	
MGI:1349427	Exo1	exonuclease 1	1		humoral immune response mediated by circulating immunoglobulin			IMP	MGI:2653925 	J:87869 	
MGI:1349427	Exo1	exonuclease 1	1		isotype switching			IMP	MGI:2653925 	J:87869 	
MGI:1913612	Exosc3	exosome component 3	4		isotype switching			IMP		J:173133 	
MGI:1913612	Exosc3	exosome component 3	4		positive regulation of isotype switching			IMP		J:173133 	
MGI:1919794	Exosc6	exosome component 6	8		isotype switching			IMP		J:173133 	
MGI:1919794	Exosc6	exosome component 6	8		positive regulation of isotype switching			IMP		J:173133 	
MGI:109324	Fadd	Fas (TNFRSF6)-associated via death domain	7		positive regulation of adaptive immune response			IMP		J:176448 	
MGI:109324	Fadd	Fas (TNFRSF6)-associated via death domain	7		positive regulation of T cell mediated cytotoxicity			IMP		J:176448 	
MGI:95484	Fas	Fas (TNF receptor superfamily member 6)	19		B cell mediated immunity			IMP		J:131363 	
MGI:2444639	Fbxo38	F-box protein 38	18		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1927803	Fcamr	Fc receptor, IgA, IgM, high affinity	1		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:95494	Fcer1a	Fc receptor, IgE, high affinity I, alpha polypeptide	1		positive regulation of type I hypersensitivity			IMP	MGI:2383982 	J:39250 	
MGI:95496	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	1		immunoglobulin mediated immune response			IBA	PTN000423688 	J:265628 	
MGI:95496	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	1		immunoglobulin mediated immune response			IMP	MGI:1857165 	J:56162 J:87421 	
MGI:95496	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	1		positive regulation of type I hypersensitivity			IMP	MGI:2384004 	J:88051 	
MGI:95496	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	1		positive regulation of type IIa hypersensitivity			IMP	MGI:1857165 	J:78296 	
MGI:95496	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	1		positive regulation of type IIa hypersensitivity			IMP	MGI:2384004 	J:75709 J:83995 	
MGI:95496	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	1		positive regulation of type III hypersensitivity			IMP	MGI:1857165 	J:78296 	
MGI:95497	Fcer2a	Fc receptor, IgE, low affinity II, alpha polypeptide	8		positive regulation of humoral immune response mediated by circulating immunoglobulin			IMP	MGI:3583003 	J:19437 	
MGI:95498	Fcgr1	Fc receptor, IgG, high affinity I	3		antibody-dependent cellular cytotoxicity			IMP	MGI:2664927 	J:83995 	
MGI:95498	Fcgr1	Fc receptor, IgG, high affinity I	3		antibody-dependent cellular cytotoxicity			IMP	MGI:2679238 	J:86281 	
MGI:95498	Fcgr1	Fc receptor, IgG, high affinity I	3		positive regulation of type IIa hypersensitivity			IMP	MGI:2664927 	J:83995 	
MGI:95498	Fcgr1	Fc receptor, IgG, high affinity I	3		positive regulation of type III hypersensitivity			IMP	MGI:2679238 	J:86281 	
MGI:95499	Fcgr2b	Fc receptor, IgG, low affinity IIb	1		immunoglobulin mediated immune response			IMP	MGI:1857166 	J:56162 J:87421 	
MGI:95499	Fcgr2b	Fc receptor, IgG, low affinity IIb	1		negative regulation of humoral immune response mediated by circulating immunoglobulin	regulates a function/process that has the participant serum		IMP	MGI:1857166 	J:102982 	
MGI:95499	Fcgr2b	Fc receptor, IgG, low affinity IIb	1		negative regulation of type I hypersensitivity			IMP	MGI:1857166 	J:31133 	
MGI:95500	Fcgr3	Fc receptor, IgG, low affinity III	1		antibody-dependent cellular cytotoxicity			IMP	MGI:1861924 	J:35057 J:87128 	
MGI:95500	Fcgr3	Fc receptor, IgG, low affinity III	1		positive regulation of type I hypersensitivity			IDA		J:31133 	
MGI:95500	Fcgr3	Fc receptor, IgG, low affinity III	1		positive regulation of type I hypersensitivity			IMP	MGI:1861924 	J:35057 J:87128 	
MGI:95500	Fcgr3	Fc receptor, IgG, low affinity III	1		positive regulation of type IIa hypersensitivity			IMP	MGI:1861924 	J:83995 J:87127 	
MGI:95500	Fcgr3	Fc receptor, IgG, low affinity III	1		positive regulation of type III hypersensitivity			IMP	MGI:1861924 	J:35057 	
MGI:1316726	Fga	fibrinogen alpha chain	3		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:99501	Fgb	fibrinogen beta chain	3		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:95526	Fgg	fibrinogen gamma chain	3		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:102795	Fgl1	fibrinogen-like protein 1	8		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:103266	Fgl2	fibrinogen-like protein 2	5		immunoglobulin production involved in immunoglobulin-mediated immune response			IMP	MGI:3582343 	J:265133 	
MGI:1347474	Foxj1	forkhead box J1	11		negative regulation of germinal center formation			IMP		J:100704 	
MGI:1347474	Foxj1	forkhead box J1	11		negative regulation of humoral immune response mediated by circulating immunoglobulin			IMP		J:100704 	
MGI:1891436	Foxp3	forkhead box P3	X		negative regulation of isotype switching to IgE isotypes	regulates a function/process that happens in serum		IMP	MGI:3696705 	J:117165 	
MGI:1891436	Foxp3	forkhead box P3	X		negative regulation of T cell cytokine production			ISO	Q9BZS1 	J:164563 	
MGI:1891436	Foxp3	forkhead box P3	X		negative regulation of T-helper 17 cell differentiation			ISO	Q9BZS1 	J:164563 	
MGI:1891436	Foxp3	forkhead box P3	X		positive regulation of peripheral T cell tolerance induction			IMP	MGI:2654936 	J:112554 	
MGI:1891436	Foxp3	forkhead box P3	X		regulation of isotype switching to IgG isotypes	regulates a function/process that happens in serum		IMP	MGI:3696705 	J:117165 	
